,Ticker,Company,Sector
0,ABB.BO,ABB India Limited,Heavy Electrical Equipment
1,AEGISLOG.BO,AEGIS LOGISTICS LTD.,Oil Marketing & Distribution
2,AMARAJABAT.BO,AMARA RAJA BATTERIES LTD.,Auto Parts & Equipment
3,AMBALALSA.BO,AMBALAL SARABHAI ENTERPRISES LTD.,Pharmaceuticals
4,HDFC.BO,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Housing Finance 
5,ANDHRAPET.BO,ANDHRA PETROCHEMICALS LTD.,Commodity Chemicals
6,ANSALAPI.BO,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Realty
7,UTIQUE.BO,Utique Enterprises Ltd,Finance (including NBFCs)
8,ARUNAHTEL.BO,ARUNA HOTELS LTD.,Hotels
9,BOMDYEING.BO,BOMBAY DYEING & MFG.CO.LTD.,Textiles
10,ASIANHOTNR.BO,Asian Hotels (North) Limited,Hotels
11,ATUL.BO,ATUL LTD.,Specialty Chemicals
12,ATVPR.BO,ATV PROJECTS INDIA LTD.,Construction & Engineering
13,BAJAJELEC.BO,BAJAJ ELECTRICALS LTD.-$,Household Appliances
14,BAJAJHIND.BO,Bajaj Hindusthan Sugar Limited,Sugar
15,FORCEMOT.BO,FORCE MOTORS LTD.-$,Cars & Utility Vehicles
16,BAJFINANCE.BO,Bajaj Finance Limited,Finance (including NBFCs)
17,BALRAMCHIN*.BO,BALRAMPUR CHINI MILLS LTD.,Sugar
18,BANCOINDIA.BO,BANCO PRODUCTS (INDIA) LTD.-$,Auto Parts & Equipment
19,CENTURYTEX.BO,CENTURY TEXTILES & INDUSTRIES LTD.,Paper & Paper Products
20,BANARISUG.BO,BANNARI AMMAN SUGARS LTD.,Sugar
21,BASF.BO,BASF INDIA LTD.,Specialty Chemicals
22,BATAINDIA.BO,BATA INDIA LTD.,Footwear
23,BEML.BO,BEML LTD.,Commercial Vehicles
24,BEL.BO,BHARAT ELECTRONICS LTD.,Defence
25,BEPL.BO,BHANSALI ENGINEERING POLYMERS LTD.-$,Specialty Chemicals
26,TATASTLBSL.BO,Tata Steel Bsl Ltd,Iron & Steel/Interm.Products
27,BIHSPONG.BO,BIHAR SPONGE IRON LTD.,Iron & Steel/Interm.Products
28,BIRLACABLE.BO,Birla Cable Ltd,Other Elect.Equip./ Prod.
29,BLUESTARCO.BO,BLUE STAR LTD.,Consumer Electronics
30,DISAQ.BO,DISA INDIA LTD.,Industrial Machinery
31,BNKCAP.BO,BNK CAPITAL MARKETS LTD.,Other Financial Services
32,BPL.BO,BPL LTD.,Consumer Electronics
33,OAL.BO,Oriental Aromatics Ltd-$,Specialty Chemicals
34,CENTEXT.BO,CENTURY EXTRUSIONS LTD.,Aluminium
35,CESC.BO,CESC LTD.,Electric Utilities
36,CHAMBLFERT.BO,CHAMBAL FERTILISERS & CHEMICALS LTD.,Fertilizers
37,EXIDEIND.BO,EXIDE INDUSTRIES LTD.,Auto Parts & Equipment
38,CIPLA.BO,CIPLA LTD.,Pharmaceuticals
39,DICIND.BO,DIC INDIA LTD.,Specialty Chemicals
40,CRISIL.BO,CRISIL LTD.,Other Financial Services
41,CGPOWER.BO,CG Power and Industrial Solutions Ltd,Heavy Electrical Equipment
42,DABUR.BO,DABUR INDIA LTD.,Personal Products
43,DALMIASUG.BO,Dalmia Bharat Sugar and Industries Ltd,Sugar
44,ARVIND.BO,ARVIND LTD.,Textiles
45,BALLARPUR.BO,BALLARPUR INDUSTRIES LTD.,Paper & Paper Products
46,BHEL.BO,BHARAT HEAVY ELECTRICALS LTD.,Heavy Electrical Equipment
47,HINDPETRO.BO,HINDUSTAN PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
48,IFCI.BO,IFCI LTD.,Financial Institutions
49,MTNL.BO,MAHANAGAR TELEPHONE NIGAM LTD.,Telecom Services
50,MRPL.BO,MANGALORE REFINERY & PETROCHEMICALS LTD.,Refineries/ Petro-Products
51,CHENNPETRO.BO,CHENNAI PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
52,RELCAPITAL.BO,RELIANCE CAPITAL LTD.,Finance (including NBFCs)
53,SBIN.BO,STATE BANK OF INDIA,Banks
54,SAIL.BO,STEEL AUTHORITY OF INDIA LTD.,Iron & Steel/Interm.Products
55,TITAN.BO,Titan Company Limited,Other Apparels & Accessories
56,IDBI.BO,IDBI BANK LTD.,Banks
57,DCW.BO,DCW LTD.,Commodity Chemicals
58,DHAMPURSUG.BO,DHAMPUR SUGAR MILLS LTD.,Sugar
59,DIAMINESQ.BO,DIAMINES & CHEMICALS LTD.-$,Specialty Chemicals
60,ELANTAS.BO,ELANTAS BECK INDIA LTD.-$,Commodity Chemicals
61,DRREDDY.BO,DR.REDDY'S LABORATORIES LTD.,Pharmaceuticals
62,EIDPARRY.BO,E.I.D.-PARRY (INDIA) LTD.,Sugar
63,PGHL.BO,Procter & Gamble Health Ltd,Pharmaceuticals
64,ELECTCAST.BO,ELECTROSTEEL CASTINGS LTD.,Other Industrial Products
65,ESABINDIA.BO,ESAB INDIA LTD.,Other Industrial Goods
66,EPL.BO,EPL Ltd,Containers & Packaging
67,ESTER.BO,ESTER INDUSTRIES LTD.,Containers & Packaging
68,PHCAP.BO,PH CAPITAL LTD.,Comm.Trading  & Distribution
69,FINCABLES.BO,FINOLEX CABLES LTD.,Other Elect.Equip./ Prod.
70,COCKERILL.BO,John Cockerill India Ltd-$,Industrial Machinery
71,UFLEX.BO,UFLEX LTD.,Containers & Packaging
72,FOSECOIND.BO,FOSECO INDIA LTD.,Commodity Chemicals
73,GOLDENTOBC.BO,GOLDEN TOBACCO LTD.,Cigarettes-Tobacco Products
74,GANESHBE.BO,GANESH BENZOPLAST LTD.,Commodity Chemicals
75,METROGLOBL.BO,Metroglobal Limited,Paper & Paper Products
76,GTL.BO,GTL LTD.,Other Telecom Services
77,GODFRYPHLP.BO,GODFREY PHILLIPS INDIA LTD.,Cigarettes-Tobacco Products
78,GODREJIND.BO,GODREJ INDUSTRIES LTD.,Packaged Foods
79,KANSAINER.BO,KANSAI NEROLAC PAINTS LTD.,Furniture-Furnishing-Paints
80,GOODRICKE.BO,GOODRICKE GROUP LTD.,Tea & Coffee
81,GOODYEAR.BO,GOODYEAR INDIA LTD.,Auto Tyres & Rubber Products
82,GTNINDS.BO,GTN INDUSTRIES LTD.,Textiles
83,GHCL.BO,GHCL LTD.,Commodity Chemicals
84,GFLLIMITED.BO,GFL Ltd,Holding Companies
85,GLFL.BO,GUJARAT LEASE FINANCING LTD.,Finance (including NBFCs)
86,HCL-INSYS.BO,HCL INFOSYSTEMS LTD.,Computer Hardware
87,HDFCBANK.BO,HDFC Bank Ltd,Banks
88,HEROMOTOCO.BO,HERO MOTOCORP LTD.,2/3 Wheelers
89,HFCL.BO,HFCL Ltd,Telecom Cables
90,HSCL.BO,Himadri Speciality Chemical Ltd,Specialty Chemicals
91,HCC.BO,HINDUSTAN CONSTRUCTION CO.LTD.,Construction & Engineering
92,HINDOILEXP.BO,HINDUSTAN OIL EXPLORATION CO.LTD.,Exploration & Production
93,HSIL.BO,HSIL LTD.,Containers & Packaging
94,HINDZINC.BO,HINDUSTAN ZINC LTD.,Zinc
95,NXTDIGITAL.BO,Nxtdigital Ltd,Broadcasting & Cable TV
96,HMT.BO,HMT LTD.,Commercial Vehicles
97,PRAGBOS.BO,PRAG BOSIMI SYNTHETICS LTD.,Textiles
98,HLVLTD.BO,HLV Ltd,Hotels
99,IGPL.BO,I G PETROCHEMICALS LTD.,Commodity Chemicals
100,INDIAGLYCO.BO,INDIA GLYCOLS LTD.,Commodity Chemicals
101,INDLEASE.BO,INDIA LEASE DEVELOPMENT LTD.,Finance (including NBFCs)
102,MARGOFIN.BO,Margo Finance Limited,Finance (including NBFCs)
103,INDORAMA.BO,INDO RAMA SYNTHETICS (INDIA) LTD.,Textiles
104,INFY.BO,INFOSYS LTD.,IT Consulting & Software
105,INGERRAND.BO,INGERSOLL-RAND (INDIA) LTD.,Industrial Machinery
106,INSILCO.BO,INSILCO LTD.,Other Industrial Goods
107,ITHL.BO,INTERNATIONAL TRAVEL HOUSE LTD.-$,Travel Support Services
108,IONEXCHANG.BO,ION EXCHANGE (INDIA) LTD.-$,Industrial Machinery
109,ATFL.BO,AGRO TECH FOODS LTD.,Other Agricultural Products
110,JISLJALEQS.BO,JAIN IRRIGATION SYSTEMS LTD.,Plastic Products
111,JASCH.BO,JASCH INDUSTRIES LTD.,Textiles
112,JCTLTD.BO,JCT LTD.,Textiles
113,JINDALPOLY.BO,JINDAL POLY FILMS LTD.,Containers & Packaging
114,JSWSTEEL.BO,JSW STEEL LTD.,Iron & Steel/Interm.Products
115,UMANGDAIR.BO,UMANG DAIRIES LTD.,Packaged Foods
116,KAJARIACER.BO,KAJARIA CERAMICS LTD.,Furniture-Furnishing-Paints
117,KAKATCEM.BO,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Cement & Cement Products
118,KSL.BO,KALYANI STEELS LTD.,Iron & Steel/Interm.Products
119,KANELIND.BO,Kanel Industries Limited,Comm.Trading  & Distribution
120,WHIRLPOOL.BO,WHIRLPOOL OF INDIA LTD.,Consumer Electronics
121,KGDENIM.BO,KG DENIM LTD.,Textiles
122,KINETICENG.BO,KINETIC ENGINEERING LTD.,2/3 Wheelers
123,KIRLOSBROS.BO,KIRLOSKAR BROTHERS LTD.-$,Industrial Machinery
124,KIRLOSIND.BO,Kirloskar Industries Ltd,Industrial Machinery
125,KIRLFER.BO,KIRLOSKAR FERROUS INDUSTRIES LTD.,Iron & Steel/Interm.Products
126,ENVAIREL.BO,ENVAIR ELECTRODYNE LTD.,Industrial Machinery
127,KOTAKBANK.BO,KOTAK MAHINDRA BANK LTD.,Banks
128,KRIFILIND.BO,Krishna Filament Industries Ltd,Plastic Products
129,KSB.BO,KSB Ltd,Industrial Machinery
130,LGBBROSLTD.BO,L.G.BALAKRISHNAN & BROS.LTD.,Auto Parts & Equipment
131,TRENT.BO,TRENT LTD.,Specialty Retail
132,LAXMIMACH.BO,LAKSHMI MACHINE WORKS LTD.,Industrial Machinery
133,LICHSGFIN.BO,LIC HOUSING FINANCE LTD.,Housing Finance 
134,LUPIN.BO,LUPIN LTD.,Pharmaceuticals
135,LYKALABS.BO,LYKA LABS LTD.,Pharmaceuticals
136,RAMCOCEM.BO,The Ramco Cements Limited,Cement & Cement Products
137,MAFATIND.BO,MAFATLAL INDUSTRIES LTD.-$,Textiles
138,MAHSEAMLES.BO,MAHARASHTRA SEAMLESS LTD.,Iron & Steel Products
139,MAHSCOOTER.BO,MAHARASHTRA SCOOTERS LTD.,Investment Companies
140,MAJESAUT.BO,MAJESTIC AUTO LTD.-$,2/3 Wheelers
141,MANALIPETC.BO,MANALI PETROCHEMICAL LTD.,Petrochemicals
142,MFSL.BO,Max Financial Services Ltd,Life Insurance
143,MESPHAR-B.BO,MESCO PHARMACEUTICALS LTD.,Pharmaceuticals
144,MIDINDIA.BO,MID INDIA INDUSTRIES LTD.,Textiles
145,MIRCELECTR.BO,MIRC ELECTRONICS LTD.,Consumer Electronics
146,CENTENKA.BO,CENTURY ENKA LTD.,Textiles
147,LORDSCHLO.BO,LORDS CHLORO ALKALI LTD.,Commodity Chemicals
148,SPICEJET.BO,SPICEJET LTD.,Airlines
149,MOREPENLAB.BO,MOREPEN LABORATORIES LTD.,Pharmaceuticals
150,MRF.BO,MRF LTD.,Auto Tyres & Rubber Products
151,HEIDELBERG.BO,HEIDELBERGCEMENT INDIA LTD.,Cement & Cement Products
152,NCC.BO,NCC Limited,Construction & Engineering
153,VEDL.BO,Vedanta Limited,Aluminium
154,NAHARSPING.BO,NAHAR SPINNING MILLS LTD.,Textiles
155,NATPEROX.BO,NATIONAL PEROXIDE LTD.,Commodity Chemicals
156,GRASIM.BO,GRASIM INDUSTRIES LTD.,Cement & Cement Products
157,PEL.BO,PIRAMAL ENTERPRISES LTD.,Other Financial Services
158,NIITLTD.BO,NIIT LTD.,IT Training Services
159,JAYKAY.BO,JAYKAY ENTERPRISES LTD.,Finance (including NBFCs)
160,NIRLON.BO,NIRLON LTD.,Diversified Commercial Services
161,ONGC.BO,Oil and Natural Gas Corporation Ltd,Exploration & Production
162,OILCOUNTUB.BO,OIL COUNTRY TUBULAR LTD.,Oil Equipment & Services
163,ORIENTHOT.BO,ORIENTAL HOTELS LTD.,Hotels
164,OSWALAGRO.BO,OSWAL AGRO MILLS LTD.,Investment Companies
165,INDSUCR.BO,INDIAN SUCROSE LTD.,Sugar
